title,canonical_url,original_url,publication,sections,published_date,author,summary,score,score_breakdown,topic_cluster,reading_mode,selected_true_false,exclusion_reason_if_any
Billionaire Chris Larsen Plans to Spend $3.5 Million in NY House Race Amid Midterm Clash Over A.I.,https://www.nytimes.com/2026/05/01/us/politics/alex-bores-chris-larsen-open-ai-jack-schlossberg.html,https://www.nytimes.com/2026/05/01/us/politics/alex-bores-chris-larsen-open-ai-jack-schlossberg.html,NYT,Artificial Intelligence; Politics; U.S.,2026-05-01,Shane Goldmacher and Nicholas Fandos,"Chris Larsen, who hails from California, plans to spend $3.5 million to help Alex Bores, a New York congressional candidate at the center of a proxy war over A.I. regulation.",94.15,"{""cross_section"": 6, ""keyword"": 40.15, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Politics / U.S.,Read deeply,True,
"Today, In Short",https://www.nytimes.com/2026/05/01/briefing/today-in-short.html,https://www.nytimes.com/2026/05/01/briefing/today-in-short.html,NYT,Artificial Intelligence,2026-05-01,Matt Yan,Phone addictions. A big sea lion. And a chore coat.,88.8,"{""cross_section"": 0, ""keyword"": 40.8, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Technology / AI,Read deeply,True,
Why So Many People Already Own Shares of Elon Musk’s SpaceX,https://www.nytimes.com/2026/05/01/technology/elon-musk-spacex-private-company-stock.html,https://www.nytimes.com/2026/05/01/technology/elon-musk-spacex-private-company-stock.html,NYT,Artificial Intelligence; Business; DealBook; Technology,2026-05-01,Erin Griffith and Ryan Mac,"Even before the rocket company holds a major initial public offering, many people own stock in it through so-called special purpose vehicles.",87.8,"{""cross_section"": 8, ""keyword"": 37.8, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 0}",Business / Economy / Markets,Read deeply,True,
"OpenAI’s Big Reset + A.I. in the Doctor’s Office + Talkie, a pre-1930s LLM",https://www.nytimes.com/2026/05/01/podcasts/hardfork-openai-doctors-talkie.html,https://www.nytimes.com/2026/05/01/podcasts/hardfork-openai-doctors-talkie.html,NYT,Artificial Intelligence; Technology,2026-05-01,"Kevin Roose, Casey Newton, Whitney Jones, Rachel Cohn, Vjeran Pavic, Daniel Ramirez, Dan Powell, Marion Lozano, Rowan Niemisto and Diane Wong",Will the rising tide of A.I. adoption lift all boats?,83.4,"{""cross_section"": 3, ""keyword"": 32.4, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Technology / AI,Read deeply,True,
Maryland Is First to Ban A.I.-Driven Price Increases in Grocery Stores,https://www.nytimes.com/2026/05/01/business/surveillance-pricing-groceries-maryland.html,https://www.nytimes.com/2026/05/01/business/surveillance-pricing-groceries-maryland.html,NYT,Business,2026-05-01,John S.W. MacDonald,A state law that goes into effect in October prohibits grocery stores and third-party delivery services from using consumer data to boost prices.,81.9,"{""cross_section"": 0, ""keyword"": 39.89999999999999, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
Pentagon Makes Deals With A.I. Companies to Expand Classified Work,https://www.nytimes.com/2026/05/01/us/politics/pentagon-ai-companies-deals.html,https://www.nytimes.com/2026/05/01/us/politics/pentagon-ai-companies-deals.html,NYT,Artificial Intelligence; Politics; Technology; U.S.,2026-05-01,Julian E. Barnes and Sheera Frenkel,The agreements with the technology companies come amid the Defense Department’s dispute with Anthropic.,80.0,"{""cross_section"": 8, ""keyword"": 24.0, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Politics / U.S.,Read deeply,True,
How Powell Just Complicated Trump’s Fed Plans,https://www.nytimes.com/2026/04/30/business/dealbook/powell-fed-trump-warsh.html,https://www.nytimes.com/2026/04/30/business/dealbook/powell-fed-trump-warsh.html,NYT,Business; DealBook,2026-04-30,"Andrew Ross Sorkin, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Niko Gallogly, Brian O’Keefe and Ian Mount","Traders now think the Federal Reserve will keep steady interest rates, or perhaps even increase them, amid succession intrigue at the central bank.",77.9,"{""cross_section"": 3, ""keyword"": 32.9, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
Meta Deal Reversal Deepens Split Between China and Silicon Valley,https://www.nytimes.com/2026/04/29/business/china-silicon-valley-manus.html,https://www.nytimes.com/2026/04/29/business/china-silicon-valley-manus.html,NYT,Business,2026-04-29,Meaghan Tobin and Erin Griffith,Beijing’s insistence that Meta unwind its deal with a Chinese A.I. start-up escalates the geopolitical fight over advanced tech.,76,"{""cross_section"": 0, ""keyword"": 45, ""opinion"": 0, ""recency"": 3, ""section"": 22, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
Fed Meeting Underscores Tough Task Ahead for Warsh,https://www.nytimes.com/2026/04/29/business/economy/what-to-watch-at-the-federal-reserves-april-meeting.html,https://www.nytimes.com/2026/04/29/business/economy/what-to-watch-at-the-federal-reserves-april-meeting.html,NYT,Economy,2026-04-30,Colby Smith,Jerome H. Powell on Wednesday announced he would stay on as a governor at the central bank as internal divisions sharpen about the policy path forward.,75.9,"{""cross_section"": 0, ""keyword"": 32.9, ""opinion"": 0, ""recency"": 14, ""section"": 23, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
"United Airlines CEO, Rebuffed by American, Says He’s Skeptical of Other Deals",https://www.nytimes.com/2026/04/29/business/united-airlines-american-scott-kirby.html,https://www.nytimes.com/2026/04/29/business/united-airlines-american-scott-kirby.html,NYT,Business,2026-04-29,Niraj Chokshi,"The chief executive, Scott Kirby, said that buying a smaller airline might not be worth the effort.",75.45,"{""cross_section"": 0, ""keyword"": 44.449999999999996, ""opinion"": 0, ""recency"": 3, ""section"": 22, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
"In Permissive Amsterdam, Ads for Fossil Fuels or Meat Are Now Verboden",https://www.nytimes.com/2026/05/01/climate/in-permissive-amsterdam-ads-for-fossil-fuels-or-meat-are-now-verboden.html,https://www.nytimes.com/2026/05/01/climate/in-permissive-amsterdam-ads-for-fossil-fuels-or-meat-are-now-verboden.html,NYT,Energy & Environment,2026-05-01,Cara Buckley,"The Dutch city has outlawed advertising that promotes lifestyles linked to high carbon emissions, which is a driver of climate change. It’s a first for a world capital.",75.1,"{""cross_section"": 0, ""keyword"": 30.099999999999998, ""opinion"": 0, ""recency"": 14, ""section"": 25, ""source_differentiation"": 6}",Climate / Energy / Infrastructure,Read deeply,True,
"After Prison, a Financial Titan Plots an Unlikely Comeback",https://www.nytimes.com/2026/05/01/business/after-prison-a-financial-titan-plots-an-unlikely-comeback.html,https://www.nytimes.com/2026/05/01/business/after-prison-a-financial-titan-plots-an-unlikely-comeback.html,NYT,Business,2026-05-01,David Gelles,Bill McGlashan served time for trying to buy his son’s way into college during the Varsity Blues scandal. He hopes his new venture will restore his name — and save the planet.,74.55,"{""cross_section"": 0, ""keyword"": 32.55, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,False,Business / Economy / Markets cap
Rising Fuel Prices Force Policymakers to Weigh Excruciating Choices,https://www.nytimes.com/2026/04/30/business/bank-of-england-european-central-bank.html,https://www.nytimes.com/2026/04/30/business/bank-of-england-european-central-bank.html,NYT,Business,2026-04-30,Eshe Nelson,"The Bank of England and European Central Bank held interest rates steady on Thursday, as officials search for signs of possible longer-term damage and warn of the impact of a prolonged energy shock.",73.85,"{""cross_section"": 0, ""keyword"": 31.849999999999998, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,False,Business / Economy / Markets cap
Musk says he ‘was a fool’ to provide OpenAI’s early funding.,https://www.nytimes.com/live/2026/04/30/technology/openai-trial-sam-altman-elon-musk/musk-says-he-was-a-fool-to-provide-openais-early-funding,https://www.nytimes.com/live/2026/04/30/technology/openai-trial-sam-altman-elon-musk/musk-says-he-was-a-fool-to-provide-openais-early-funding,NYT,Technology,2026-04-30,Cade Metz and Mike Isaac,"In the second day of a trial pitting Mr. Musk against OpenAI, he said the company’s chief executive, Sam Altman, had misled him. But OpenAI’s lawyer said evidence showed the opposite.",72.4,"{""cross_section"": 0, ""keyword"": 29.4, ""opinion"": 0, ""recency"": 14, ""section"": 23, ""source_differentiation"": 6}",Technology / AI,Read deeply,True,
OpenAI’s New Model Spurs Debate Over Computing Power,https://www.nytimes.com/2026/05/01/business/dealbook/openai-anthropic-compute.html,https://www.nytimes.com/2026/05/01/business/dealbook/openai-anthropic-compute.html,NYT,Artificial Intelligence; Business; DealBook,2026-05-01,"Andrew Ross Sorkin, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Niko Gallogly, Brian O’Keefe and Ian Mount",Sam Altman suggested it would be released more widely than a rival offering from Anthropic. Some are suggesting it’s because OpenAI has more computing power.,72.0,"{""cross_section"": 6, ""keyword"": 24.0, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 0}",Business / Economy / Markets,Read deeply,False,Business / Economy / Markets cap
The World’s Central Banks Are Wrestling With a Gigantic Problem,https://www.nytimes.com/2026/05/01/business/iran-war-interest-rates-central-banks.html,https://www.nytimes.com/2026/05/01/business/iran-war-interest-rates-central-banks.html,NYT,Business; Your Money,2026-05-01,Jeff Sommer,"Inflationary surges and economic slowdowns set off by the war in Iran, tariffs and other Trump policies have forced monetary officials to adjust, our columnist says.",70.85,"{""cross_section"": 3, ""keyword"": 31.849999999999998, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 0}",Business / Economy / Markets,Read deeply,False,Business / Economy / Markets cap
"A.I. Spending Sets a Record, With No End in Sight",https://www.nytimes.com/2026/04/29/technology/ai-spending-tech-data-centers.html,https://www.nytimes.com/2026/04/29/technology/ai-spending-tech-data-centers.html,NYT,Technology,2026-04-29,Karen Weise,"Google, Amazon, Microsoft and Meta reported more than $130 billion in quarterly capital expenditures on Wednesday as they build A.I. data centers. There’s more to come.",70.7,"{""cross_section"": 0, ""keyword"": 38.7, ""opinion"": 0, ""recency"": 3, ""section"": 23, ""source_differentiation"": 6}",Technology / AI,Read deeply,True,
How A.I. Data Centers Are Building a New Political Coalition,https://www.nytimes.com/video/us/100000010828227/how-ai-data-centers-are-building-a-new-political-coalition.html,https://www.nytimes.com/video/us/100000010828227/how-ai-data-centers-are-building-a-new-political-coalition.html,NYT,Artificial Intelligence; U.S.,2026-05-01,"Sabrina Tavernise, Mimi Dwyer, Melanie Bencosme, June Kim, Orlando de Guzman and Jon Miller","Sabrina Tavernise, a national writer-at-large, traveled to Saline Township, Mich., where the state’s first hyperscale A.I. data center is under construction. Residents are banding together to oppose the center, crossing political lines in surprising new ways.",69.0,"{""cross_section"": 3, ""keyword"": 24.0, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 0}",Politics / U.S.,Read deeply,True,
