title,canonical_url,original_url,source,category,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
PipeNetwork/minimax-h3-mlx,https://simonwillison.net/2026/Aug/4/minimax-h3-mlx,https://simonwillison.net/2026/Aug/4/minimax-h3-mlx/#atom-everything,Simon Willison,Tech & Engineering,,2026-08-04,high,"PipeNetwork/minimax-h3-mlx MiniMax released MiniMax-H3 two days ago - they describe it as a ""a general-purpose, omni-modal generative system"", which in practice means it accepts text, images, audio and video and can use them to generate up to 15 second video clips with audio included. This Python package ports it to MLX for running on Apple Silicon. I got it running on my M5 Max MacBook Pro. I cloned the repo and ran the model like this: # First download the models uvx --from huggingface_hub hf ",117.8,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 31.799999999999997, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,True,
Bending Spoons to Buy Airtable for $1.3 Billion,https://techcrunch.com/2026/08/04/bending-spoons-to-buy-airtable-for-1-28b,https://techcrunch.com/2026/08/04/bending-spoons-to-buy-airtable-for-1-28b/,Daring Fireball,Strategy & Craft,John Gruber,2026-08-04,high,"Ivan Mehta, reporting for TechCrunch: In its first acquisition since going public last month, Bending Spoons on Tuesday said that it has agreed to buy spreadsheet and database startup Airtable for $1.28 billion in cash. Founded in 2013, Airtable has so far raised over $1.4 billion over multiple funding rounds. At its peak, during the boom days of 2021, it was valued at over $11 billion, but earlier this year, its shares were said to be trading on the secondary markets at a valuation of $4 billio",117.5,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 42.5, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Craft essay,Read deeply,True,
"New release of LLM adds support for reasoning traces, OpenAI Responses, server-side tools, and smarter logging",https://simonwillison.net/2026/Aug/4/new-release-of-llm,https://simonwillison.net/2026/Aug/4/new-release-of-llm/#atom-everything,Simon Willison,Tech & Engineering,,2026-08-04,high,"I released LLM 0.32 this morning, the most significant new version of LLM since the initial launch of the project. The new version includes support for visible reasoning traces, server-side provider tools, redesigned content-addressable SQLite logs, new models, and new features enabled by the OpenAI Responses API. I also released a new version of the llm-anthropic plugin with substantial updates of its own. Headline features for LLM CLI users Running LLM against reasoning models now displays the",113.5,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 42.5, ""release_note"": -15, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Skim,True,
TerminalWidget 1.0,https://terminalwidget.app/,https://terminalwidget.app/,Daring Fireball,Strategy & Craft,John Gruber,2026-08-04,high,"New app from Brett Terpstra: TerminalWidget lets you send output from commands, scripts, APIs, and Shortcuts directly to widgets across macOS, iOS, and iPadOS with rich formatting, progress bars, sparklines, and image support. It is available as a universal app on the App Store for $19.99. I don’t know what I’m going to use this for, but I know I want to use it. &nbsp;★&nbsp;",104.1,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Software Engineering,Craft essay,Read deeply,True,
Quoting Steve Yegge,https://simonwillison.net/2026/Aug/4/steve-yegge,https://simonwillison.net/2026/Aug/4/steve-yegge/#atom-everything,Simon Willison,Tech & Engineering,,2026-08-04,high,"Gas Town was intended to be reusable, but I only ever wound up using it to build itself. Gas Town fell apart at the seams with Opus 4.7. Up through 4.6 it was working brilliantly. With 4.7 we saw the introduction of the ""just two more things"" tic, which prevented Opus from ever converging on being ready to do real work—it always wanted to fiddle with Gas Town itself. The Opus tic never went away, so Gas Town effectively burned down. It had other problems, too, but 4.7 was the final straw. &mdash",104.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 18.0, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,False,source daily cap
llm-anthropic 0.26,https://simonwillison.net/2026/Aug/4/llm-anthropic,https://simonwillison.net/2026/Aug/4/llm-anthropic/#atom-everything,Simon Willison,Tech & Engineering,,2026-08-04,high,"Release: llm-anthropic 0.26 Includes new features enabled by LLM 0.32: New models: claude-fable-5, claude-sonnet-5, and claude-opus-5. #75, #76 Added server-side tools for WebSearch, WebFetch, CodeExecution, and AnthropicMCP, available through LLM's -T interface or Python tools=. The previous -o web_search* options have been removed in favor of -T WebSearch. #79 Upgraded to llm&gt;=0.32. Reasoning, tool calls, tool results, and server-side tool results now stream as typed events. Reasoning for l",102.8,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 31.799999999999997, ""release_note"": -15, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Skim,False,source daily cap
★ OpenAI Responds to Apple’s Lawsuit and Motion for Preliminary Injunction: ‘Apple Is Getting This Wrong’,https://daringfireball.net/2026/08/openai_apple_is_getting_this_wrong,https://daringfireball.net/2026/08/openai_apple_is_getting_this_wrong,Daring Fireball,Strategy & Craft,John Gruber,2026-08-04,high,"A blog post is an unusual way to respond to a high-stakes lawsuit, but OpenAI is an unusual company. A few snippets from their post, and some commentary.",102.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 35.0, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",AI / Agents / LLMs,Craft essay,Read deeply,False,source daily cap
Apple Seeks Preliminary Injunction Against OpenAI in Trade Secrets Case,https://www.reuters.com/legal/litigation/apple-seeks-preliminary-injunction-against-openai-trade-secrets-case-2026-08-04,https://www.reuters.com/legal/litigation/apple-seeks-preliminary-injunction-against-openai-trade-secrets-case-2026-08-04/,Daring Fireball,Strategy & Craft,John Gruber,2026-08-04,high,"Reuters: Apple on Monday asked a U.S. judge for a preliminary injunction barring two former employees ​and OpenAI from accessing, acquiring, using or disclosing alleged confidential information as it moves ahead with its trade secrets case. [...] The iPhone maker also filed a concurrent motion on Monday seeking expedited discovery, including production of documents relating to the defendants’ alleged access ​of Apple’s proprietary and trade secret information. It asked the judge to order the two",102.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 35.0, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",AI / Agents / LLMs,Craft essay,Read deeply,False,source daily cap
Yours Truly on TBPN Yesterday,https://www.youtube.com/live/ruL8Q-TsbbI?t=4085,https://www.youtube.com/live/ruL8Q-TsbbI?t=4085,Daring Fireball,Strategy & Craft,John Gruber,2026-08-04,high,"TBPN seems like a show I wouldn’t enjoy guesting on, but I actually enjoy it quite a bit. &nbsp;★&nbsp;",89.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Strategy analysis,Read deeply,False,source daily cap
Gig Review: Belle & Sebastian - If You’re Feeling Sinister at Margate Dreamland ★★★★★,https://shkspr.mobi/blog/2026/08/gig-review-belle-sebastian-if-youre-feeling-sinister-at-margate-dreamland,https://shkspr.mobi/blog/2026/08/gig-review-belle-sebastian-if-youre-feeling-sinister-at-margate-dreamland/,Shkspr.mobi,Strategy & Craft,@edent,2026-08-04,high,"It&#039;s 1998 and Doogie, the guy across the hall in our student accommodation, will not stop playing The Boy With The Arab Strap. Eventually I crack and ask him who the band are. He infodumps on me with all the authority of an 18 year our music snob about this cool new Scottish band called Belle &#38; Sebastian. I slip him a tenner, a couple of Smirnoff Ice, and the promise of my help on the next…",87.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 16.0, ""source_weight"": 16.0}",Strategy / Business Models,Craft essay,Read deeply,True,
