title,canonical_url,original_url,source,category,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
Quoting Matthew Green,https://simonwillison.net/2026/Jul/29/matthew-green,https://simonwillison.net/2026/Jul/29/matthew-green/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-29,high,"Right now we’re in the midst of a historic transition from traditional public-key algorithms based on EC-based cryptography and RSA, moving over to new post-quantum algorithms based on novel problems. This is why there are so many standards like HAWK being considered. If there was ever a perfect time for a massive new public cryptanalysis capability to come on line, we’re in it. So unless AIs succeed in undermining all of our hard problems altogether (or we live in Impagliazzo’s Minicrypt) then ",139.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Technical essay,Read deeply,True,
Can Costly Signals Fix Hiring?,https://ide.mit.edu/insights/can-costly-signals-fix-hiring,https://ide.mit.edu/insights/can-costly-signals-fix-hiring/,MIT IDE,MIT Research & Insights,Beth LaMontagne,2026-07-29,high,"Cited papers Costly Capacity Signaling Increases Matching Efficiency: Evidence from a Field Experiment Preference Signaling in Labor Markets: Evidence from a Field Experiment Authors Prasanna Parasurama, Assistant Professor of Information Systems &#38; Operations Management Apostolos Filippas, Information, Technology, and Operations at the Fordham Gabelli School of Business and MIT IDE Digital Fellow John Horton, MIT [&#8230;] The post Can Costly Signals Fix Hiring? appeared first on MIT Initiat",138.0,"{""brevity"": 0, ""category"": 22, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 24.0, ""source_weight"": 24.0}",Research / Innovation,Research insight,Read deeply,True,
AI Worming through Word,https://simonwillison.net/2026/Jul/29/ai-worming-through-word,https://simonwillison.net/2026/Jul/29/ai-worming-through-word/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-29,high,"AI Worming through Word Neat new prompt injection variant by Håkon Måløy, who found a way to upgrade prompt injection attacks against Microsoft Word to full self-replicating worms: An attacker places hidden instructions in a document that is later used as source material in Copilot for Word. Copilot may interpret those instructions as part of the user’s request, causing it to manipulate the document being drafted or edited. Copilot may then also copy the hidden instructions into the resulting do",119.4,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 33.4, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,True,
Apple Says iOS 27 ‘Restricted Mode’ Isn’t for Users Who Miss Payments in New Apple Upgrade Program,https://9to5mac.com/2026/07/28/apple-says-ios-27-restricted-mode-isnt-for-new-upgrade-program-leases,https://9to5mac.com/2026/07/28/apple-says-ios-27-restricted-mode-isnt-for-new-upgrade-program-leases/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-29,high,"Last week 9to5Mac reported on code in the latest iOS 27 developer beta seemingly meant to restrict leased devices after the user had missed one or more payments. When engaged, Restricted Mode limits the device to the following apps: Accessibility Reader App Store Health Magnifier Phone Clock Settings Wallet Passwords And some limited access to apps like Messages or health-related apps that might have critical messages. Many people reasonably speculated that this feature was related to Apple Upgr",112.8,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 37.8, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Security / Privacy,Craft essay,Read deeply,True,
Adding a custom MCP server to Claude and ChatGPT,https://simonwillison.net/2026/Jul/29/mcp-in-claude-and-chatgpt,https://simonwillison.net/2026/Jul/29/mcp-in-claude-and-chatgpt/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-29,high,"TIL: Adding a custom MCP server to Claude and ChatGPT Connecting a custom MCP server to Claude and ChatGPT's standard chat interfaces is possible, but can take quite a few steps. Tags: ai, generative-ai, chatgpt, llms, claude, model-context-protocol",104.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 18.0, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,False,source daily cap
Count Those Underscores,https://arstechnica.com/tech-policy/2026/07/police-missed-one-underscore-and-sent-the-wrong-man-to-prison,https://arstechnica.com/tech-policy/2026/07/police-missed-one-underscore-and-sent-the-wrong-man-to-prison/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-29,high,"Nate Anderson , reporting for Ars Technica under the headline “A Missing Underscore Sent Innocent Man to Prison for 18 Months”: Police were looking for a man using the Kik messaging service under the name “fus__ro_dah” (two underscores after “fus”), but they accidentally requested records for the username “fus_ro_dah” (one underscore after “fus”). This one-character difference led them not to the perpetrator but to a Canadian man named Brandon Klayme. [...] Despite finding no evidence of the cri",97.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Craft essay,Read deeply,True,
‘eBay’s Bizarre Cyberstalking Saga Ends With a $56 Million Settlement’,https://www.theverge.com/tech/972209/ebay-cyberstalking-harassment-settlement,https://www.theverge.com/tech/972209/ebay-cyberstalking-harassment-settlement,Daring Fireball,Strategy & Craft,John Gruber,2026-07-29,high,"Emma Roth, The Verge: eBay and three former executives will pay $55.7 million as part of a settlement with a Massachusetts couple targeted with a bizarre harassment and cyberstalking campaign in 2019, as reported earlier by CNBC. The settlement will resolve a lengthy legal saga that revealed how eBay’s former executives sent live insects, a bloody pig mask, a funeral wreath, and other strange items to David and Ina Steiner over their newsletter’s coverage of eBay. The Steiners, who operate the E",97.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Strategy analysis,Read deeply,False,source daily cap
Elon Musk drops wild 5-year prediction about AI and humanity,https://www.superpowerdaily.com/p/elon-musk-drops-wild-5-year-prediction-about-ai-and-humanity,https://www.superpowerdaily.com/p/elon-musk-drops-wild-5-year-prediction-about-ai-and-humanity,Superpower Daily,Tech & Engineering,Saeed Ezzati,2026-07-29,high,Young Adults Are Letting AI Do Their Talking for Them–Even in Person,90.6,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 12.6, ""release_note"": 0, ""source"": 21.0, ""source_weight"": 21.0}",AI / Agents / LLMs,Engineering note,Read deeply,True,
"Apple Upgrade — New Program With Klarna for Leasing iPhones, Macs, iPads, and More for Near-Zero Interest",https://www.apple.com/newsroom/2026/07/apple-upgrade-launches-in-the-united-states,https://www.apple.com/newsroom/2026/07/apple-upgrade-launches-in-the-united-states/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-29,high,"Apple Newsroom: Apple today announced Apple Upgrade, a new product leasing program provided by Klarna for iPhone, Apple Watch, Mac, and iPad available on the Apple Store online, in the Apple Store app, and at Apple Store locations in the United States. Apple Upgrade makes it even easier for customers to get the Apple products they love with a leasing plan that is right for them. [...] Apple Upgrade offers 12- and 24-month leasing options for iPhone and Apple Watch, and 24- and 36-month leasing o",89.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Craft essay,Read deeply,False,source daily cap
Pastebot 3,https://tapbots.com/pastebot,https://tapbots.com/pastebot/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-29,high,"New from Tapbots: version 3 of their excellent clipboard manager for Mac. There are so many clipboard managers for the Mac. I run two other apps — Keyboard Maestro and LaunchBar — that offer good clipboard managers as ancillary features. But for years now I’ve chosen to use Pastebot. Chief among my favorite features: Remembers up to 1,500 clippings (up from a mere 1,000 in v2). Syncs via iCloud. If I copy something on one Mac, it’s in my Pastebot history on my others Macs. That sweet Tapbots UI.",89.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Craft essay,Read deeply,False,source daily cap
Quoting D. Richard Hipp,https://simonwillison.net/2026/Jul/29/d-richard-hipp,https://simonwillison.net/2026/Jul/29/d-richard-hipp/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-29,high,"Years ago, we didn’t have SQL. There were people whose job was to generate software that would query large data sets. Their job title was COBOL programmer. Then SQL comes along—I’m simplifying this only a little bit—and it gives you this convenient way so people could just specify. With a very simple specification, you can generate all of that code that you had to pay the expensive COBOL programmer to do before. That didn’t mean programmers went away. It just meant the job changed a little bit. ",86.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 0.0, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Tech & Engineering,Engineering note,Read deeply,False,source daily cap
