title,canonical_url,original_url,source,category,track,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
OCP Global Summit 2026: Innovation Village & Future Technologies Symposium (FTS) Demo Lineup,https://www.opencompute.org/blog/ocp-global-summit-2026-innovation-village-and-future-technologies-symposium-fts-demo-lineup,https://www.opencompute.org/blog/ocp-global-summit-2026-innovation-village-and-future-technologies-symposium-fts-demo-lineup,Open Compute Project,AI Infrastructure,ai-infra,,2026-09-22,high,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; See emerging infrastructure technologies in action at the 2026 OCP Global Summit&rsquo;s Innovation Village, featuring demonstrations from the Future Technologies Symposium (FTS) and across the OCP Community. Explore the lineup below, organized by technical zo (...)",139.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 24.0, ""source_weight"": 24.0}",Software Engineering,Strategy analysis,Read deeply,True,
Lithography firm Morphotonics targets data center optical component market after raising €40m,https://www.datacenterdynamics.com/en/news/lithography-firm-morphotonics-targets-data-center-optical-component-market-after-raising-40m,https://www.datacenterdynamics.com/en/news/lithography-firm-morphotonics-targets-data-center-optical-component-market-after-raising-40m/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-22,high,Company’s technology currently used to manufacture displays for AR glasses,133.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,True,
"Claude Opus 5.5, GPT-6 Sol, GPT-6 Luna, and a new price war",https://simonwillison.net/2026/Sep/22/opus-and-sol-and-luna,https://simonwillison.net/2026/Sep/22/opus-and-sol-and-luna/,Simon Willison,Tech & Engineering,ai-at-large,,2026-09-22,high,"Yesterday was Grok 4.7 (pelicans) and MiMo v2.6 Flash/Pro (more pelicans). Today Anthropic released Claude Opus 5.5, and around an hour later OpenAI released GPT-6 Sol and GPT-6 Luna. It's going to take a while to get a good read on all of these new models, but here are my impressions so far. GPT-6 Sol and Luna are half the price of their GPT-5.6 equivalents GPT-5.6 Luna was already my favorite model for building applications against, because it combined excellent performance with being really c",131.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,True,
"Lower energy costs, community benefits drive 30% battery growth rate: RMI",https://www.utilitydive.com/news/lower-energy-costs-community-benefits-drive-30-battery-growth-rate-rmi/831039,https://www.utilitydive.com/news/lower-energy-costs-community-benefits-drive-30-battery-growth-rate-rmi/831039/,Utility Dive,AI Infrastructure,ai-infra,Brian Martucci,2026-09-22,high,"The report arrives as the energy storage industry faces headwinds from tariffs, Treasury regulations and new White House restrictions on foreign-made bulk electrical components.",128.6,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 40.599999999999994, ""release_note"": 0, ""source"": 21.0, ""source_weight"": 21.0}",Software Engineering,Engineering note,Read deeply,True,
"BDx breaks ground on AI Campus 2 in Jatiluhur, Indonesia",https://www.datacenterdynamics.com/en/news/bdx-breaks-ground-on-ai-campus-2-in-jatiluhur-indonesia,https://www.datacenterdynamics.com/en/news/bdx-breaks-ground-on-ai-campus-2-in-jatiluhur-indonesia/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-22,high,The first 120MW building is set to go live in early 2027,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,True,
Orange drops MásOrange brand in Spain following full takeover,https://www.datacenterdynamics.com/en/news/masorange-disappears-and-orange-spain-assumes-the-groups-corporate-identity,https://www.datacenterdynamics.com/en/news/masorange-disappears-and-orange-spain-assumes-the-groups-corporate-identity/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-22,high,The carrier is now known as Orange España,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
"Alibaba unveils Zhenwu V900, says cloud capacity will hit 20GW by 2032",https://www.datacenterdynamics.com/en/news/alibaba-unveils-zhenwu-v900-says-cloud-capacity-will-hit-20gw-by-2032,https://www.datacenterdynamics.com/en/news/alibaba-unveils-zhenwu-v900-says-cloud-capacity-will-hit-20gw-by-2032/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-22,high,New AI chip slated for release in Q1 2027,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
Sponsored: Simplicity is the new scalability,https://www.datacenterdynamics.com/en/opinions/simplicity-is-the-new-scalability,https://www.datacenterdynamics.com/en/opinions/simplicity-is-the-new-scalability/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-22,high,"In the AI era, competitive advantage will come not from offering unlimited choice, but from knowing which choices matter",125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
Irish gov't sets out national roaming agreement for Ireland's emergency services,https://www.datacenterdynamics.com/en/news/irish-govt-sets-out-national-roaming-agreement-for-irelands-emergency-services,https://www.datacenterdynamics.com/en/news/irish-govt-sets-out-national-roaming-agreement-for-irelands-emergency-services/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-22,high,"eir, Three Ireland, and Vodafone have signed the agreement",125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
AT&T seeks to lease more 3.45GHz spectrum,https://www.datacenterdynamics.com/en/news/att-seeks-to-lease-more-345ghz-spectrum,https://www.datacenterdynamics.com/en/news/att-seeks-to-lease-more-345ghz-spectrum/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-22,high,"The carrier is after more midband spectrum, this time from N Squared",125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
