title,canonical_url,original_url,source,category,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
Investigating three real-world incidents in our cybersecurity evaluations,https://simonwillison.net/2026/Jul/30/three-real-world-incidents,https://simonwillison.net/2026/Jul/30/three-real-world-incidents/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-30,high,"Investigating three real-world incidents in our cybersecurity evaluations It happened again! This is turning into something of a pattern. Last week OpenAI accidentally exploited Hugging Face when one of their frontier models broke out of a sandboxed container and hacked into Hugging Face to try and get the solutions to the cyber benchmark it was executing. This inspired Anthropic to double-check their own logs, and it turned out they had three similar (albeit less impressive) incidents, the earl",139.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,True,
Advancing the price-performance frontier with GPT‑5.6,https://simonwillison.net/2026/Jul/30/luna-price-drop,https://simonwillison.net/2026/Jul/30/luna-price-drop/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-30,high,"Advancing the price-performance frontier with GPT‑5.6 Huge price drop from OpenAI today: GPT-5.6 Terra got a 20% reduction, and GPT-5.6 Luna got a massive 80% drop. OpenAI credit 5.6 Sol with enabling this: in How GPT‑5.6 fuses frontier intelligence with frontier efficiency they describe using 5.6 Sol to optimize load balancing, and more impressively to optimize inference itself: We also used GPT‑5.6 Sol to optimize the model’s forward pass: the computation that transforms inputs into next-token",131.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Technical essay,Read deeply,True,
Quoting Bruce Schneier,https://simonwillison.net/2026/Jul/30/bruce-schneier,https://simonwillison.net/2026/Jul/30/bruce-schneier/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-30,high,"The writing assignments I give my students are gym tasks, not work tasks. I ask them to write policy memos not because the world needs more policy memos. I assign them because the very act of writing, which includes thinking and outlining and drafting and editing, making and criticizing and revising arguments, will help develop the critical thinking skills they will need in their future careers. And without this constant mental exercise, those skills will atrophy. Employers are already noticing.",125.5,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 39.49999999999999, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,False,source daily cap
Read This Before You Buy That TV Streaming Stick,https://krebsonsecurity.com/2026/07/read-this-before-you-buy-that-tv-streaming-stick,https://krebsonsecurity.com/2026/07/read-this-before-you-buy-that-tv-streaming-stick/,Krebs on Security,Security & Privacy,BrianKrebs,2026-07-30,high,"Security experts have been sounding the alarm for years about the risks of using generic TV boxes that promise unlimited content streaming for a one-time fee, warning that they secretly rent the user's Internet connection out to strangers. But a groundbreaking new analysis finds these devices also routinely spoof themselves as mobile phones clicking ads on AI-generated websites as part of sprawling operation that seeks to defraud online merchants and advertising networks.",123.5,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 33.5, ""release_note"": 0, ""source"": 23.0, ""source_weight"": 23.0}",Security / Privacy,Security alert,Read deeply,True,
Are political journalists always wrong?,https://shkspr.mobi/blog/2026/07/are-political-journalists-always-wrong,https://shkspr.mobi/blog/2026/07/are-political-journalists-always-wrong/,Shkspr.mobi,Strategy & Craft,@edent,2026-07-30,high,"I&#039;ve mostly tuned out of reading the news. But, once in a while, a headline will be shared on social media and I&#039;ll momentarily stare into the abyss. There has recently been a change in UK Prime Minister. I neither know nor care whether that&#039;s a good thing. What I do know is that Senior Political Correspondents collectively shat their pants with excitement at being able to breathlessly report…",118.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 16.0, ""source_weight"": 16.0}",AI / Agents / LLMs,Craft essay,Read deeply,True,
llm 0.32rc1,https://simonwillison.net/2026/Jul/30/llm-rc1,https://simonwillison.net/2026/Jul/30/llm-rc1/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-30,high,"Release: llm 0.32rc1 This RC for LLM 0.32 finishes the work that started in LLM 0.32a0 - it adds a new schema design that does a much better job of capturing the details of the prompts and responses returned by the latest model families. The most important change is the use of content-addressable hash IDs for stored messages. This allows de-duplication in the database, and means that LLM can now represent trees of messages for forked conversations. Since it involves a significant schema change -",113.5,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 42.5, ""release_note"": -15, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Skim,False,source daily cap
llm-chat-completions-server 0.1a0,https://simonwillison.net/2026/Jul/30/llm-chat-completions-server,https://simonwillison.net/2026/Jul/30/llm-chat-completions-server/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-30,high,"Release: llm-chat-completions-server 0.1a0 A key goal of the new content-addressable logs in LLM 0.32rc1 was being able to support OpenAI Chat Completion style requests where each incoming message extends the previous conversation, like this: curl http://localhost:8002/v1/chat/completions \ -H 'Content-Type: application/json' \ -d '{ ""model"": ""qwen3.5-4b"", ""messages"": [ {""role"": ""user"", ""content"": ""Capital of France?""}, {""role"": ""assistant"", ""content"": ""Paris.""}, {""role"": ""user"", ""content"": ""Ger",103.7,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 32.7, ""release_note"": -15, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Skim,False,source daily cap
Mark Zuckerberg: ‘The AI Future Is for Everyone’,https://www.wsj.com/opinion/the-ai-future-is-for-everyone-a0c24e20?st=T6AAwM,https://www.wsj.com/opinion/the-ai-future-is-for-everyone-a0c24e20?st=T6AAwM,Daring Fireball,Strategy & Craft,John Gruber,2026-07-30,high,"Mark Zuckerberg, in an op-ed Tuesday for The Wall Street Journal (gift link; and irony isn’t lost that “everyone” needs a paid WSJ subscription to read this): We are fortunate to live at an incredible moment in history. In the next few years, people will be able to use superintelligence beyond human capacity to create and discover extraordinary new things, build new businesses, express our ideas, learn new concepts, and improve our lives, health, relationships and careers. Perhaps we’ll be able ",102.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 35.0, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",AI / Agents / LLMs,Craft essay,Read deeply,True,
Looking for the Catch in Apple Upgrade,https://www.theatlantic.com/technology/2026/07/apple-lease-upgrade-program/688106,https://www.theatlantic.com/technology/2026/07/apple-lease-upgrade-program/688106/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-30,high,"Damon Beres, writing for The Atlantic under the hed/subhed: “The New iPhone Underclass: Apple’s rental program is a trap”: The Klarna plan — “Apple Upgrade,” which replaces the iPhone Upgrade Program — is truly, legally, a lease. This is confusing! And it’s confusing in part because this is not how Klarna, a well-known buy-now, pay-later service, typically operates: When you use Klarna for clothing from Shein or lip kits at Sephora or an Xbox at GameStop, you’re paying back a loan, exactly as yo",92.9,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 25.9, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Writing / Craft / Taste,Strategy analysis,Read deeply,True,
The Differences Between the New ‘Apple Upgrade’ and the Old ‘iPhone Upgrade Program’,https://9to5mac.com/2026/07/30/apple-upgrade-vs-iphone-upgrade-program-here-are-the-key-differences,https://9to5mac.com/2026/07/30/apple-upgrade-vs-iphone-upgrade-program-here-are-the-key-differences/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-30,high,"Ryan Christoffel, writing for 9to5Mac: Apple Upgrade launched this week, and the iPhone Upgrade Program is being discontinued as a result. But despite some similarities, the two offerings are not the same. Here are the key differences. I wrote yesterday that there seemingly is no catch with the new Apple Upgrade program, but there’s at least one, which Christoffel’s piece doesn’t note. When you lease an iPhone through Apple Upgrade, you need a cellular account on one of the big three U.S. carrie",92.9,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 25.9, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Writing / Craft / Taste,Craft essay,Read deeply,False,source daily cap
