title,canonical_url,original_url,source,category,track,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
The First Battery Was Inspired By a Dead Frog,https://spectrum.ieee.org/voltaic-pile-first-battery,https://spectrum.ieee.org/voltaic-pile-first-battery,IEEE Spectrum Energy,AI Infrastructure,ai-infra,Allison Marsh,2026-08-31,high,"In a display case on the lower level of the Faraday Museum at the Royal Institution in London, there’s an unassuming stack of gray metal discs and blotting paper. It’s not at all obvious that this humble object is the starting point of today’s multibillion-dollar global battery industry. The object’s invention in 1799 grew out of a disagreement that Alessandro Volta—the Italian physicist for whom the unit of measurement for electrical potential is named—had with his friend Luigi Galvani over a d",135.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 22.0, ""source_weight"": 22.0}",Software Engineering,Engineering note,Read deeply,True,
PJM drops Oklo advanced nuclear project from interconnection study cycle,https://www.utilitydive.com/news/pjm-oklo-advanced-nuclear-ferc-interconnection/829150,https://www.utilitydive.com/news/pjm-oklo-advanced-nuclear-ferc-interconnection/829150/,Utility Dive,AI Infrastructure,ai-infra,Ethan Howland,2026-08-31,high,"Oklo asked the Federal Energy Regulatory Commission to order the PJM Interconnection to reinstate its 750-MW, mixed-technology project. PJM reportedly told Oklo that it never showed the project could ride through a sudden drop in grid voltage.",133.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 21.0, ""source_weight"": 21.0}",Software Engineering,Strategy analysis,Read deeply,True,
The E.U.’s AI Drive Undermines Its ​Own Chip Strategy,https://spectrum.ieee.org/europes-ai-drive,https://spectrum.ieee.org/europes-ai-drive,IEEE Spectrum Semiconductors,AI Infrastructure,ai-infra,Joana Soares,2026-08-31,high,"This story was originally published by Tech Policy Press.The European Union’s push for technological sovereignty faces an uncomfortable contradiction.As the E.U. rolls out AI factories, gigafactories, and new data centers, it is creating a surge in demand for the advanced semiconductors that underpin artificial intelligence. Yet Europe produces fewer than 10 percent of the world’s chips and remains heavily dependent on U.S. designers and Asian manufacturers for the most advanced processors.That ",127.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 22.0, ""source_weight"": 22.0}",AI / Agents / LLMs,Engineering note,Read deeply,True,
The rules of data center development are evolving. Is your strategy?,https://www.utilitydive.com/spons/the-rules-of-data-center-development-are-evolving-is-your-strategy-1/828795,https://www.utilitydive.com/spons/the-rules-of-data-center-development-are-evolving-is-your-strategy-1/828795/,Utility Dive,AI Infrastructure,ai-infra,,2026-08-31,high,Data center capacity continues to expand.,125.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 21.0, ""source_weight"": 21.0}",Software Engineering,Engineering note,Read deeply,True,
The great home battery financing experiment,https://www.latitudemedia.com/news/the-great-home-battery-financing-experiment,https://www.latitudemedia.com/news/the-great-home-battery-financing-experiment/,Latitude Media,AI Infrastructure,ai-infra,Maeve Allsup,2026-08-31,high,"New Jersey’s PSE&#038;G is taking a creative approach to scaling battery deployment, but will most utilities eventually opt for third-party ownership? The post The great home battery financing experiment appeared first on Latitude Media.",125.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 21.0, ""source_weight"": 21.0}",Software Engineering,Engineering note,Read deeply,True,
Unlocking the potential of existing assets,https://www.datacenterdynamics.com/en/opinions/unlocking-the-potential-of-existing-assets,https://www.datacenterdynamics.com/en/opinions/unlocking-the-potential-of-existing-assets/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-08-31,high,Retrofitting rather than building new,119.1,"{""brevity"": -6, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,True,
Introducing wrapture,https://simonwillison.net/2026/Aug/31/introducing-wrapture,https://simonwillison.net/2026/Aug/31/introducing-wrapture/,Simon Willison,Tech & Engineering,ai-at-large,,2026-08-31,high,"Introducing wrapture New from Graham Dumpleton (of wrapt, mod_wsgi, and New Relic's Python agent fame), who describes Wrapture as taking the monkeypatching ideas from wrapt and extending them to apply to testing and tracing at the same time. Wrapture (full documentation here) makes it easy to wrap any function or method such that all access can be traced, or can be overridden to return a different value. It acts as both an alternative to unittest.mock and a way to implement tracing against an ex",118.55,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 32.55, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,True,
Property risk in natural resources: The shift from severity to duration,https://www.utilitydive.com/spons/property-risk-in-natural-resources-the-shift-from-severity-to-duration/828467,https://www.utilitydive.com/spons/property-risk-in-natural-resources-the-shift-from-severity-to-duration/828467/,Utility Dive,AI Infrastructure,ai-infra,,2026-08-31,high,"Secondary perils, such as severe convective storms, are becoming a primary driver of earnings volatility.",117.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 21.0, ""source_weight"": 21.0}",Software Engineering,Engineering note,Read deeply,False,below selected score threshold
California sues Trump administration over offshore wind ‘extortion racket’,https://www.utilitydive.com/news/california-sues-trump-admin-offshore-wind-extortion-racket/829176,https://www.utilitydive.com/news/california-sues-trump-admin-offshore-wind-extortion-racket/829176/,Utility Dive,AI Infrastructure,ai-infra,Diana DiGangi,2026-08-31,high,The state alleges the Trump administration &ldquo;abuses its authority&rdquo; by diminishing the value of offshore wind energy leases before it makes an &ldquo;unrefusable offer&rdquo; to developers.,100.6,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 40.599999999999994, ""release_note"": 0, ""same_source_sequence"": -20, ""source"": 21.0, ""source_weight"": 21.0}",Software Engineering,Engineering note,Read deeply,False,below selected score threshold
Stakeholders square off over proposed DOE appliance program changes,https://www.utilitydive.com/news/stakeholders-square-off-over-proposed-doe-appliance-program-changes/829155,https://www.utilitydive.com/news/stakeholders-square-off-over-proposed-doe-appliance-program-changes/829155/,Utility Dive,AI Infrastructure,ai-infra,Robert Walton,2026-08-31,high,Manufacturers say the changes would create a more predictable process to set appliance standards but should not &ldquo;apply retroactively to standards already finalized.&rdquo;&nbsp;Efficiency advocates say potential energy savings will be lost.,100.6,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 40.599999999999994, ""release_note"": 0, ""same_source_sequence"": -20, ""source"": 21.0, ""source_weight"": 21.0}",Software Engineering,Engineering note,Read deeply,False,below selected score threshold
