title,canonical_url,original_url,source,category,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
Quoting Armin Ronacher,https://simonwillison.net/2026/Jul/14/armin-ronacher,https://simonwillison.net/2026/Jul/14/armin-ronacher/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-14,high,"The shared language of a software project is not English or Python but it is the common understanding of what its concepts mean, where the boundaries are, which invariants matter, who owns what, and why the system has the shape it does. This language is rarely written down in one place. It lives partly in documentation and code, but also in code review, conversations, arguments, and the experience of having to explain a change to somebody else. Before agents, some of this shared understanding wa",123.95,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.95, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Technical essay,Read deeply,True,
[Sponsor] Paper,https://paper.design/,https://paper.design/?utm_source=df,Daring Fireball,Strategy & Craft,Daring Fireball Department of Commerce,2026-07-14,high,"Paper is a professional design tool where every layer is real HTML and CSS. Your design is already code, which means fewer handoffs and fewer translations between what you design and what ships. Paper works both ways: code to design, and design to code. Connect any agent through MCP and it can read and edit your designs. Or use Paper Snapshot to capture your live site as editable layers and make new iterations. Agents handle the tedious work so you can focus on your craft and the decisions that ",120.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Writing / Craft / Taste,Craft essay,Read deeply,True,
Microsoft Patches a Record 570 Security Flaws,https://krebsonsecurity.com/2026/07/microsoft-patches-a-record-570-security-flaws,https://krebsonsecurity.com/2026/07/microsoft-patches-a-record-570-security-flaws/,Krebs on Security,Security & Privacy,BrianKrebs,2026-07-14,high,"Microsoft Corp. today released software updates to plug at least 570 security holes in its Windows operating systems and other software, almost triple the number of vulnerabilities the software giant fixed in its record-smashing Patch Tuesday release last month. Microsoft attributed the burgeoning patch counts to vulnerability discoveries aided by artificial intelligence.",116.6,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 34.6, ""release_note"": 0, ""source"": 23.0, ""source_weight"": 23.0}",Security / Privacy,Security alert,Read deeply,True,
Using uvx in GitHub Actions in a cache-friendly way,https://simonwillison.net/2026/Jul/14/uvx-github-actions-cache,https://simonwillison.net/2026/Jul/14/uvx-github-actions-cache/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-14,high,"TIL: Using uvx in GitHub Actions in a cache-friendly way I finally found a cache-friendly recipe for using uvx tool-name in GitHub Actions workflows that I like. The trick is setting a UV_EXCLUDE_NEWER: ""2026-07-12"" environment variable at the start of the workflow and then using that as part of the GitHub Actions cache key. This means any uvx tool-name commands will resolve to the most recent version as-of that date, and you can bust the cache and upgrade the tools by bumping the date in the fu",114.7,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 28.7, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,True,
datasette 1.0a37,https://simonwillison.net/2026/Jul/14/datasette,https://simonwillison.net/2026/Jul/14/datasette/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-14,high,"Release: datasette 1.0a37 A minor release. Performance and documentation improvements to the permissions system, plus I reverted a cosmetic API change which caused almost every existing plugin test suite to break. Tags: datasette",105.95,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 19.95, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
simonw/pedalican,https://simonwillison.net/2026/Jul/14/pedalican,https://simonwillison.net/2026/Jul/14/pedalican/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-14,high,"simonw/pedalican Clearly I wasn't paying attention when these were first announced back in May, but today I accidentally activated a ""pet"" in Codex Desktop - a little animated robot, reminiscent of Clippy - and then learned you can create your own. So I did, and now I have a cute little pelican on a bicycle bouncing around my desktop giving me updates on my Codex tasks. Your browser does not support HTML5 video. The most interesting thing about this process was watching how the custom pet was cr",104.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 18.0, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Technical essay,Read deeply,False,source daily cap
I'm a USB-C Maximalist,https://shkspr.mobi/blog/2026/07/im-a-usb-c-maximalist,https://shkspr.mobi/blog/2026/07/im-a-usb-c-maximalist/,Shkspr.mobi,Strategy & Craft,@edent,2026-07-14,high,"My wife and I recently went on a 7 week holiday around Europe. Although we each took a massive backpack, we wanted to travel fairly lightly. I took a single universal power brick. This little unit was all I needed to charge my various gadgets. It has a hefty USB-C PD (Power Delivery) port for rapid charging of my phone and laptop. Two other USB-C ports for my other gadgets. And a couple of…",102.1,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 16.0, ""source_weight"": 16.0}",Software Engineering,Craft essay,Read deeply,True,
lobste.rs is now running on SQLite,https://simonwillison.net/2026/Jul/14/lobsters-sqlite,https://simonwillison.net/2026/Jul/14/lobsters-sqlite/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-14,high,"lobste.rs is now running on SQLite Community site Lobsters has been planning a migration away from MariaDB since August 2018 - originally targeting PostgreSQL, but last year they decided to investigate SQLite instead. This weekend they completed the migration, and now consider it stable enough that it looks like this is the permanent architecture for the site going forward: SQLite seems to have passed with flying colors: cpu usage is down, memory usage is down, site seems to be snappier at least",100.7,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 14.7, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
OpenAI Engineer's 'LOL' Moment Set Stage for Legal Fight with Apple,https://www.superpowerdaily.com/p/openai-engineer-s-lol-moment-set-stage-for-legal-fight-with-apple,https://www.superpowerdaily.com/p/openai-engineer-s-lol-moment-set-stage-for-legal-fight-with-apple,Superpower Daily,Tech & Engineering,Saeed Ezzati,2026-07-14,high,Meta removes controversial AI feature on Instagram after backlash,95.1,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 17.099999999999998, ""release_note"": 0, ""source"": 21.0, ""source_weight"": 21.0}",AI / Agents / LLMs,Engineering note,Read deeply,True,
Quoting GitHub Changelog,https://simonwillison.net/2026/Jul/14/github-changeling,https://simonwillison.net/2026/Jul/14/github-changeling/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-14,high,"Dependabot now waits until a new release has been available on its registry for at least three days before opening a version update pull request. This cooldown is now the default and requires no configuration. &mdash; GitHub Changelog, embracing dependency cooldowns Tags: dependency-cooldowns, packaging, security, github",86.4,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 15.399999999999999, ""release_note"": -15, ""source"": 25.0, ""source_weight"": 25.0}",Security / Privacy,Engineering note,Skim,False,source daily cap
